Gene_symbol	Role_in_cancer	fusion	Supp	nSupp
A1CF	oncogene		COSMIC	1
ABI1	fusion,TSG	KMT2A	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
ABL1	fusion,oncogene	BCR,NUP214,ETV6	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ABL2	fusion,oncogene	ETV6	COSMIC,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	5
ACKR3	fusion,oncogene,TSG	HMGA2	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
ACSL3	fusion	ETV1	COSMIC,COSMIC CGC (v99)	2
ACSL6	fusion	ETV6	FOUNDATION ONE HEME,COSMIC	2
ACVR1	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	6
ACVR1B	TSG		COSMIC,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE,Vogelstein	5
ACVR2A	oncogene,TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
AFDN	fusion,oncogene,TSG	KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
AFF1	fusion	KMT2A	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
AFF3	fusion,oncogene	RUNX1,KMT2A	COSMIC,COSMIC CGC (v99)	2
AFF4	fusion,oncogene	KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
AKAP9	fusion	BRAF	COSMIC	1
AKT1	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
AKT2	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
AKT3	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	7
ALDH2	fusion,TSG	HMGA2	OncoKB Annotated,COSMIC	2
ALK	fusion,oncogene	SEC31A,C2orf22,ATIC,MSN,RANBP2,TPR,EML4,DCTN1,KLC1,VCL,TFG,C2orf44,PPFIBP1,STRN,TPM3,RNF213,CLTC,CARS,NPM1,TPM4,HIP1,KIF5B	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
AMER1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
ANK1			COSMIC	1
APC	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
APOBEC3B	oncogene,TSG		COSMIC,COSMIC CGC (v99)	2
AR	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ARAF	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	7
ARHGAP26	fusion,oncogene,TSG	KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ARHGAP35	oncogene,TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,COSMIC CGC (v99)	4
ARHGAP5	oncogene		COSMIC	1
ARHGEF10	TSG		COSMIC	1
ARHGEF10L	TSG		COSMIC	1
ARHGEF12	fusion,oncogene,TSG	KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ARID1A	fusion,TSG	MAST2	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ARID1B	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,Vogelstein	6
ARID2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein	7
ARNT	fusion,oncogene,TSG	ETV6	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
ASPM			COSMIC	1
ASPSCR1	fusion	TFE3	COSMIC,COSMIC CGC (v99)	2
ASXL1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ASXL2	TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
ATF1	fusion,oncogene	FUS,EWSR1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ATIC	fusion,oncogene	ALK	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ATM	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ATP1A1	oncogene,TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
ATP2B3	TSG		COSMIC,COSMIC CGC (v99)	2
ATR	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
ATRX	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
AXIN1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
AXIN2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
B2M	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein	8
BAP1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BARD1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
BAX	TSG		COSMIC,COSMIC CGC (v99)	2
BAZ1A	TSG		COSMIC	1
BCL10	fusion,TSG	IGH	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
BCL11A	fusion,oncogene	IGH	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
BCL11B	fusion,oncogene,TSG	TLX3	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	5
BCL2	fusion,oncogene	IGH	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BCL2L12	oncogene		COSMIC	1
BCL3	fusion,oncogene	IGH	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
BCL6	fusion,oncogene	TFRC,SRSF3,IL21R,IG loci,CIITA,RHOH,LCP1,HSPCB,POU2AF1,ZNFN1A1,PIM1,HIST1H4I,EIF4A2,HSP90AA1,NACA	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
BCL7A	fusion,TSG	MYC	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
BCL9	fusion,oncogene	IGL,IGH	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
BCL9L	oncogene,TSG		COSMIC,COSMIC CGC (v99)	2
BCLAF1			COSMIC	1
BCOR	fusion,TSG	RARA	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BCORL1	oncogene,TSG		COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	6
BCR	fusion,oncogene	FGFR1,ABL1,JAK2	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	6
BIRC3	fusion,oncogene,TSG	MALT1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	7
BIRC6	fusion,oncogene	ALK	COSMIC	1
BLM	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
BMP5			COSMIC	1
BMPR1A	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
BRAF	fusion,oncogene	AGTRAP,SND1,FAM131B,AKAP9,SLC45A3,FCHSD1,RNF130,CLCN6,GNAI1,MKRN1,LSM14A,CEP88,KIAA1549	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BRCA1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BRCA2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
BRD3	fusion,oncogene	NUTM1	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
BRD4	fusion,oncogene	NUTM1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
BRIP1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
BTG1	fusion,TSG	MYC	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	6
BTG2	TSG		OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,FOUNDATION ONE	4
BTK	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
BUB1B	oncogene,TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
C15orf65	fusion	CIITA	COSMIC	1
CACNA1D	oncogene		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
CALR	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CAMTA1	fusion,TSG	WWTR1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
CANT1	fusion,oncogene	ETV4	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
CARD11	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
CARS	fusion,TSG	ALK	COSMIC	1
CASP3	TSG		COSMIC	1
CASP8	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic,Vogelstein,FOUNDATION ONE	8
CASP9	TSG		COSMIC	1
CBFA2T3	fusion,TSG	GLIS2,RUNX1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
CBFB	fusion,TSG	MYH11	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
CBL	fusion,oncogene,TSG	KMT2A	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
CBLB	TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99),civic	4
CBLC			COSMIC,COSMIC CGC (v99),civic	3
CCDC6	fusion,TSG	PDGFRB,RET	COSMIC,COSMIC CGC (v99)	2
CCNB1IP1	fusion,TSG	HMGA2	COSMIC,COSMIC CGC (v99)	2
CCNC	TSG		COSMIC	1
CCND1	fusion,oncogene	FSTL3,IGH	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CCND2	fusion,oncogene	IGL	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CCND3	fusion,oncogene	IGH	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CCNE1	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CCR4	oncogene		COSMIC	1
CCR7	oncogene		COSMIC	1
CD209			COSMIC	1
CD274	fusion,oncogene,TSG	CIITA	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CD28	oncogene		OncoKB Annotated,COSMIC,MSK-HEME	3
CD74	fusion,oncogene	NRG1,ROS1	OncoKB Annotated,COSMIC,COSMIC CGC (v99),FOUNDATION ONE	4
CD79A	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
CD79B	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
CDC73	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
CDH1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
CDH10	TSG		COSMIC	1
CDH11	fusion,oncogene,TSG	USP6	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
CDH17	oncogene		COSMIC	1
CDK12	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CDK4	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CDK6	fusion,oncogene	MLLT10	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CDKN1A	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,civic,FOUNDATION ONE	6
CDKN1B	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CDKN2A	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
CDKN2C	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
CDX2	fusion,TSG	ETV6	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99),civic	4
CEBPA	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
CEP89	fusion	BRAF	COSMIC	1
CHCHD7	fusion	PLAG1	COSMIC,COSMIC CGC (v99)	2
CHD2	TSG		OncoKB Annotated,COSMIC,FOUNDATION ONE HEME	3
CHD4	oncogene		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
CHEK2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CHIC2	fusion	ETV6	FOUNDATION ONE HEME,COSMIC	2
CHST11	fusion,oncogene		COSMIC	1
CIC	fusion,oncogene,TSG	FOXO4,DUX4L1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
CIITA	fusion,TSG	PDCD1LG2,RUNDC2A,CD274,BCL6,C15orf55,RMI2,RALGDS	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	5
CLIP1	fusion	ROS1	COSMIC,COSMIC CGC (v99)	2
CLP1	fusion	KMT2A	FOUNDATION ONE HEME,COSMIC	2
CLTC	fusion,TSG	TFE3,ALK	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
CLTCL1	fusion,TSG	?	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
CNBD1			COSMIC	1
CNBP	fusion,TSG	USP6	COSMIC,COSMIC CGC (v99)	2
CNOT3	TSG		COSMIC,COSMIC CGC (v99)	2
CNTNAP2	TSG		COSMIC	1
CNTRL	fusion	FGFR1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
COL1A1	fusion,oncogene	PDGFB,USP6	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
COL2A1	fusion,TSG	GMEB1,TANC2,TMEM106C,LOC101927502,LINC00513,PPP1R42	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
COL3A1	fusion	PLAG1	COSMIC	1
COX6C	fusion	HMGA2	COSMIC	1
CPEB3	TSG		COSMIC	1
CREB1	fusion,oncogene	EWSR1	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
CREB3L1	fusion,TSG	FUS	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
CREB3L2	fusion,oncogene	FUS	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
CREBBP	fusion,oncogene,TSG	KMT2A,KAT6A,MORF	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
CRLF2	fusion,oncogene	P2RY8,IGH	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein	7
CRNKL1			COSMIC	1
CRTC1	fusion,oncogene	MAML2	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
CRTC3	fusion	MAML2	COSMIC,COSMIC CGC (v99)	2
CSF1R	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	7
CSF3R	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CSMD3	TSG		COSMIC	1
CTCF	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CTNNA1	fusion,TSG	RAF1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,FOUNDATION ONE	4
CTNNA2	oncogene		COSMIC	1
CTNNB1	fusion,oncogene	PLAG1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
CTNND1			COSMIC	1
CTNND2	oncogene		COSMIC	1
CUL3	TSG		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE	5
CUX1	oncogene,TSG	CLDN7	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	5
CXCR4	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
CYLD	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,Vogelstein	6
CYP2C8			COSMIC	1
CYSLTR2	oncogene		MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
DAXX	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
DCAF12L2			COSMIC	1
DCC			COSMIC,civic	2
DCTN1	fusion	ROS1,ALK	COSMIC,COSMIC CGC (v99)	2
DDB2	oncogene,TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
DDIT3	fusion,oncogene	FUS,EWSR1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
DDR2	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
DDX10	fusion,TSG	NUP98	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
DDX3X	TSG		COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	5
DDX5	fusion,oncogene	ETV4	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
DDX6	fusion,oncogene	IGH	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
DEK	fusion,oncogene	NUP214	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
DGCR8	oncogene		COSMIC	1
DICER1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	6
DNAJB1	fusion	PRKACA	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
DNM2	oncogene,TSG		OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
DNMT3A	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
DROSHA	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
EBF1	fusion,TSG	HMGA2	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ECT2L	TSG		OncoKB Annotated,COSMIC,FOUNDATION ONE HEME	3
EED	TSG		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	6
EGFR	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
EIF1AX			MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,civic	5
EIF3E	fusion,TSG	RSPO3	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
EIF4A2	fusion,oncogene	BCL6	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
ELF3	oncogene,TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
ELF4	fusion,oncogene,TSG	ERG	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ELK4	fusion,oncogene	SLC45A3	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
ELL	fusion,oncogene,TSG	KMT2A	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
ELN	fusion,oncogene	PAX5	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME	3
EML4	fusion,oncogene	ALK	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
EP300	fusion,TSG	KMT2A,KAT6A	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
EPAS1	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	6
EPHA3	TSG		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	6
EPHA7	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME	5
EPS15	fusion,TSG	KMT2A	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
ERBB2	fusion,oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
ERBB3	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
ERBB4	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
ERC1	fusion,oncogene	RET,ROS1	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
ERCC2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	6
ERCC3	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
ERCC4	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE	6
ERCC5	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	6
ERG	fusion,oncogene	FUS,ELF4,NDRG1,HERPUD1,TMPRSS2,EWSR1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
ESR1	fusion,oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
ETNK1	TSG		OncoKB Annotated,COSMIC,MSK-HEME,COSMIC CGC (v99)	4
ETV1	fusion,oncogene	HMGN2P46,SLC45A3,HNRNPA2B1. ACSL3,TMPRSS2,EWSR1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
ETV4	fusion,oncogene	CANT1,DDX5,EWSR1,TMPRSS2,KLK2	COSMIC,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	6
ETV5	fusion,oncogene	SCL45A3,TMPRSS2	COSMIC,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	5
