Gene_symbol	Role_in_cancer	fusion	Supp	nSupp
PTK6	oncogene,TSG		COSMIC,COSMIC CGC (v99)	2
PTPN11	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
PTPN13	TSG		OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
PTPN6	TSG		FOUNDATION ONE HEME,COSMIC	2
PTPRB	TSG		COSMIC,COSMIC CGC (v99),civic	3
PTPRC	TSG		COSMIC,COSMIC CGC (v99)	2
PTPRD	TSG		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,civic	5
PTPRK	fusion,TSG	RSPO3	COSMIC,COSMIC CGC (v99)	2
PTPRT	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	6
PWWP2A	fusion	ROS1	COSMIC	1
QKI	oncogene,TSG	MYB	OncoKB Annotated,COSMIC,COSMIC CGC (v99),FOUNDATION ONE	4
RABEP1	fusion	PDGFRB	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
RAC1	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic,FOUNDATION ONE	7
RAD17	TSG		OncoKB Annotated,COSMIC	2
RAD21	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
RAD50	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	7
RAD51	fusion,oncogene,TSG	EGFR	MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	6
RAD51B	fusion,TSG	HMGA2	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic,FOUNDATION ONE	7
RAD51C	TSG		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE	5
RAD51D	TSG		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,civic,FOUNDATION ONE	6
RAF1	fusion,oncogene	ESRP1,SRGAP3	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
RALGDS	fusion	CIITA	FOUNDATION ONE HEME,COSMIC	2
